"filename", "language", "pip requirements", "Markdown", "Ini", "Python", "Batch", "XML", "YAML", "comment", "blank", "total"
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\.github\workflows\codeql.yml", "YAML", 0, 0, 0, 0, 0, 0, -34, -37, -14, -85
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Public\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Public\common.py", "Python", 0, 0, 0, -19, 0, 0, 0, 0, -4, -23
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Public\config.py", "Python", 0, 0, 0, -63, 0, 0, 0, 0, -19, -82
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Public\decoration.py", "Python", 0, 0, 0, -53, 0, 0, 0, 0, -9, -62
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Public\excel.py", "Python", 0, 0, 0, -73, 0, 0, 0, -2, -18, -93
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Public\files.py", "Python", 0, 0, 0, -60, 0, 0, 0, -7, -17, -84
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Resource\ico.qrc", "XML", 0, 0, 0, 0, 0, -62, 0, 0, -1, -63
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Resource\ico_rc.py", "Python", 0, 0, 0, -5867, 0, 0, 0, -6, -11, -5884
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\Resource\pictures\icos\DM_20230815124713_071.svg", "XML", 0, 0, 0, 0, 0, -5, 0, 0, 0, -5
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\app.py", "Python", 0, 0, 0, -10, 0, 0, 0, 0, -4, -14
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\appMain.py", "Python", 0, 0, 0, -87, 0, 0, 0, -1, -23, -111
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\config_adapt.py", "Python", 0, 0, 0, -14, 0, 0, 0, 0, -7, -21
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\ico_rc.py", "Python", 0, 0, 0, -5866, 0, 0, 0, -6, -11, -5883
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\sort_file.py", "Python", 0, 0, 0, -41, 0, 0, 0, -10, -18, -69
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\ui_Excel.py", "Python", 0, 0, 0, -181, 0, 0, 0, -7, -8, -196
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\ui_Start.py", "Python", 0, 0, 0, -24, 0, 0, 0, -1, -6, -31
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Demo\ui_excel.ui", "XML", 0, 0, 0, 0, 0, -351, 0, 0, -2, -353
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\README.md", "Markdown", 0, -9, 0, 0, 0, 0, 0, 0, -5, -14
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Tools\exe.bat", "Batch", 0, 0, 0, 0, -38, 0, 0, -6, -11, -55
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Excel\Tools\ui.bat", "Batch", 0, 0, 0, 0, -22, 0, 0, -2, -9, -33
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\README.md", "Markdown", 0, -17, 0, 0, 0, 0, 0, 0, -12, -29
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Public\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Public\common.py", "Python", 0, 0, 0, -19, 0, 0, 0, 0, -4, -23
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Public\config.py", "Python", 0, 0, 0, -63, 0, 0, 0, 0, -19, -82
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Public\decoration.py", "Python", 0, 0, 0, -53, 0, 0, 0, 0, -9, -62
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Public\excel.py", "Python", 0, 0, 0, -73, 0, 0, 0, -2, -18, -93
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Public\files.py", "Python", 0, 0, 0, -60, 0, 0, 0, -7, -17, -84
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Resource\ico.qrc", "XML", 0, 0, 0, 0, 0, -62, 0, 0, -1, -63
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Resource\ico_rc.py", "Python", 0, 0, 0, -5867, 0, 0, 0, -6, -11, -5884
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Resource\pictures\icos\DM_20230815124713_071.svg", "XML", 0, 0, 0, 0, 0, -5, 0, 0, 0, -5
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\Search.ui", "XML", 0, 0, 0, 0, 0, -272, 0, 0, -1, -273
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\app.py", "Python", 0, 0, 0, -10, 0, 0, 0, 0, -4, -14
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\appMain.py", "Python", 0, 0, 0, -115, 0, 0, 0, -2, -27, -144
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\config.ini", "Ini", 0, 0, -3, 0, 0, 0, 0, 0, -2, -5
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\config_adapt.py", "Python", 0, 0, 0, -15, 0, 0, 0, 0, -6, -21
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\ico_rc.py", "Python", 0, 0, 0, -5867, 0, 0, 0, -6, -11, -5884
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\ui_Search.py", "Python", 0, 0, 0, -144, 0, 0, 0, -7, -8, -159
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Demo\ui_Start.py", "Python", 0, 0, 0, -56, 0, 0, 0, -1, -16, -73
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\README.md", "Markdown", 0, -6, 0, 0, 0, 0, 0, 0, -5, -11
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Tools\exe.bat", "Batch", 0, 0, 0, 0, -35, 0, 0, -6, -10, -51
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Search\Tools\ui.bat", "Batch", 0, 0, 0, 0, -22, 0, 0, -2, -9, -33
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\quantum_config.ini", "Ini", 0, 0, -11, 0, 0, 0, 0, 0, -4, -15
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\requirements.txt", "pip requirements", -35, 0, 0, 0, 0, 0, 0, 0, -2, -37
"Total", "-", -35, -32, -14, -24700, -117, -757, -34, -124, -395, -26208
